정답,유사답안,출제연도,문제소분류,문제대분류,문제,비고
데이터의 당위적 특성,,서브노트,1과목,1과목,"추론, 예측, 전망, 추정을 위한 정보의 근거가 될 수 있는 데이터의 특성을 데이터의 ( )이라 한다.",
비정형 데이터,,서브노트,1과목,1과목,"고정된 틀이 존재하지 않고 연산이 불가능하며, 수집과 관리가 어려워 일반적으로 관계형 DB가 아닌 NoSQL DB에 저장되는 데이터는 무엇인가?",
암묵지,Tacit Knowledge,서브노트,1과목,1과목,"학습과 체험을 통해 개인에게 습득되어 있지만, 겉으로 드러나지 않는 상태의 지식을 말하며, 머릿속에 존재하는 지식으로 언어나 문자를 통해 나타나지 않는 지식을 무엇이라 하는가?",
"공통화, 연결화",,서브노트,1과목,1과목,공유화되기 어려운 암묵지가 형식지로 표출되고 연결되면 그 상호작용으로 지식이 형셩된다. 개인에게 내면화된 암묵지가 조직의 지식으로 ( 1 )되기 위해서는(형식지가 되기 위해서는) 표출화하고 이를 다시 개인의 지식으로( 2 )하는 과정을 거치게 된다. 이는 다시 개인에게 내면화되는 과정을 거친다.,
DB,,서브노트,1과목,1과목,"체계적으로 수집, 축적하여 다양한 용도와 방법으로 이용할 수 있게 정리한 정보의 집합체는?",
DBMS,Database Management System,서브노트,1과목,1과목,"이용자가 쉽게 데이터베이스를 구축, 유지할 수 있게 하는 관리 소프트웨어는?",
통합된 데이터,,서브노트,1과목,1과목,"데이터의 일반적인 특징에 관한 내용이다. 다음에서 설명하는 것은?
- ( ) : 동일한 내용의 데이터가 중복되어 있지 않다.
",
저장된 데이터,,서브노트,1과목,1과목,"데이터의 일반적인 특징에 관한 내용이다. 다음에서 설명하는 것은?
- ( ): 컴퓨터 매체가 접근할 수 있는 저장 매체에 저장되어 있다.
",
공용 데이터,,서브노트,1과목,1과목,"데이터의 일반적인 특징에 관한 내용이다. 다음에서 설명하는 것은?
- ( ): 여러 사용자가 공유할 수 있다.
",
변화하는 데이터,,서브노트,1과목,1과목,"데이터의 일반적인 특징에 관한 내용이다. 다음에서 설명하는 것은?
- ( ): 삽입, 수정, 삭제를 통해 항상 정확한 데이터를 유지해야 한다.",
기계 가독성,,서브노트,1과목,1과목,"데이터베이스의 다양한 측면에 관한 내용이다. 다음에서 설명하는 것은?
- 대량의 정보를 일정한 형식에 따라 컴퓨터 등의 정보처리기기가 읽고 쓸 수 있는 DB의 특성은 ( ) 이다.",
원격 조작성,,서브노트,1과목,1과목,"데이터베이스의 다양한 측면에 관한 내용이다. 다음에서 설명하는 것은?
- 정보통신망을 통해 원거리에서도 즉시 온라인으로 이용가능한 DB의 특성은 ( ) 이다.",
정보관리 측면,,서브노트,1과목,1과목,"데이터베이스의 다양한 측면에 관한 내용이다. 다음에서 설명하는 것은?
- 정보를 일정한 질서와 구조에 따라 정리, 저장하고 검색, 관리할 수 있게 하여 방대한 양의 정보를 체계적으로 축적하고, 새로운 내용 추가나 갱신이 용이한 것은 DB의 ( )이다.",
정보이용 측면,,서브노트,1과목,1과목,"데이터베이스의 다양한 측면에 관한 내용이다. 다음에서 설명하는 것은?
- 이용자의 정보요구에 따라 다양한 정보를 신속하게 획득할 수 있고 원하는 정보를 정확하고 경제적으로 찾아낼 수 있는 것은 DB의 ( )이다.",
원자성,Atomicity,서브노트,1과목,1과목,트랜잭션이 데이터베이스에 모두 적용되거나 또는 모두 적용되지 않아야 한다는 것은 데이터베이스 트랜잭션의 특성 중 어떤 특성을 의미하는가?,
OLAP,,서브노트,1과목,1과목,"데이터 마이닝 등의 기술이 등장하면서 단순한 정보의 수집과 공유에서 탈피하여 분석이 중심이 되는 시스템 구축으로 변화하게 되었는데, 이를 ( )라 부른다.",
EAI,Enterprise Application Integration,서브노트,1과목,1과목,하나의 기업은 여러 개의 서비스를 보유하고 있지만 서비스 간 연계가 필요할 경우 그 연결 루트는 서비스 수가 증가함에 따라 기하급수적으로 증가한다. 따라서 이러한 모든 서비스를 중앙에서 관리하는 ( )가 구축되면 연결 루트가 간소화되는 기업 애플리케이션 통합이 이뤄진다.,
KMS,,서브노트,1과목,1과목,"지식 경영 시스템을 의미하며, 직원 개개인의 지식, 프로젝트 경험, 과거 사례 등 기업이 보유할 수 있는 모든 지식을 통합해서 문제 해결 능력을 향상시키는 목적으로 구축하는 시스템은?",
ERP,Enterprise Resource Planning,서브노트,1과목,1과목,"경영 자원 통합 관리를 의미하며, 여러 자원 및 업무가 하나로 통합된 시스템으로 재구축해서 어느 부서에서 필요로 하는 자원이 있다고 알릴 경우 바로 그 자원에 대한 구매 및 생산이 진행될 수 있도록 도와 업무의 효율성을 높이는 것이 목적인 시스템은?",
CALS,Commerce At Light Speed,서브노트,1과목,1과목,"제품의 설계, 개발, 생산에서 유통, 폐기에 이르기까지 제품의 라이프 사이클 전반에 관련된 데이터를 통합하고 공유, 교환할 수 있게 한 경영통합정보시스템은?",
교육행정정보시스템,NEIS,서브노트,1과목,1과목,"학사뿐만 아니라 기타 교육행정 전 업무를 처리하는 시스템으로, 교육부 아래 각 시도별 교육청과 교육지원청들, 그리고 약 1만여 곳의 학교를 연계하는 대형 네트워크 시스템은?",
"Volume, Variety, Velocity","양, 유형, 속도의 증가",서브노트,1과목,1과목,가트너 그룹의 부회장인 더그 래니의 빅데이터 설명 중 3V는?,
"Value, Veracity, Visualization, Variability","가치, 정확성, 시각화, 가변성",서브노트,1과목,1과목,더그 래니의 빅데이터 설명 중 3V에 추가된 새로운 4V를 모두 쓰시오.,
양질 전환의 법칙,,서브노트,1과목,1과목,정보가 지속적으로 축적되면서 거대한 데이터는 새로운 기술을 만나 새로운 가치를 창출할 수 있는 변화의 상태가 된다고 설명한다. 이러한 산업계에서 일어난 빅데이터 현상을 어떠한 법칙으로 설명하기도 한다. 이 법칙을 무엇이라 부르는가?,
"빅데이터는 산업혁명의 석탄, 철",,서브노트,1과목,1과목,"다음 빅데이터의 기능에 관한 설명에 해당하는 말을 쓰시오.
- 제조업뿐만 아니라 서비스 분야의 생산성을 획기적으로 끌어올려 사회, 경제, 문화, 생활 전반에 혁명적 변화를 가져올 것으로 기대된다.",
