정답,문제,유사답안,출제연도,문제소분류,문제대분류,비고
반정규화,"정규화된 엔티티, 속성, 관계에 대해 시스템의 성능향상과 개발(Development)과 운영(Maintanance)의 단순화를 위해 중복, 통합, 분리 등을 수행하는 데이터 모델링의 기법",,2020년 1회,데이터베이스,데이터 입출력 구현,"둘 이상의 릴레이션들에 대하여 조인한 결과를 빈번하게 이용하는 경우, 반정규화 함으로써 질의응답 시간이 단축될 수 있다."
XML,"HTML의 단점을 보완한 언어로, SGML의 복잡한 단점을 개선한 다목적 마크업 언어이다. 웹상에서 구조화된 문서를  상호교환 가능하도록 설계된 웹 표준 문서 포맷으로 메타 데이터 정의가 명확하다. 사용자가 새로운 태그와 속성을 정의할 수 있는 확장성을 가진다. 유니코드를 사용하여 전 세계의 모든 문자를 처리 가능하며 장치와 시스템에 독립적이다.",,2020년 1회,프로그래밍언어,통합 구현,
살충제 패러독스,동일한 테스트 게이스로 동일한 절차를 반복 수행하면 새로운 결함을 찾을 수 없다는 것을 의미한다. 잠재된 수많은 결함을 발견하기 위해서는 테스트 케이스를 정기적으로 개선하는 것이 필요하다는 원리이다.,,2020년 1회,패러다임,서버프로그램 구현,같은 테스트케이스를 가지고 테스트를 계속해서 반복하면 내성으로 인해 결국은 버그가 발견되지 않는다. 이러한 현상을 방지하기 위해서는 테스터가 적극적 자세를 가지고 지속적으로 테스트케이스를 검토하고 개선해야한다. 
"결합도, 응집도","모듈화를 중심으로 하는 소프트웨어 설계 방법에서는 모듈의 독립성을 높게 해주는 것이 좋은 설계 방향이다. 모듈의 독립성을 높여주기 위해서는 각 모듈 간의 관련성을 나타내는 (1)은 낮추고, 모듈 안의 요소들이 서로 관련되어 있는 정도를 나타내는 (2)는 높이는 것이 가장 바람직하다.",,2020년 1회,모듈,서버프로그램 구현,
JSON,"( )은 데이터를 저장하거나 전송할 때 많이 사용되는 경량의 DATA 교환 방식이다. ( ) 표현식은 사람과 기계 모두 이해하기 쉬우며 소용량으로 최근에 XML을 대체해서 데이터 전송 등에 많이 사용한다. Ajax에서 서버와 통신하며 데이터 교환을 쉽게 하기 위해 ( )을 데이터 전송형식으로 많이 사용한다. ( )의 문법은 key와 value가 쌍으로 존재하며 태그로 표현하기 보다는 중괄호 같은 형식으로 하고, 값을 ‘,’로 나열하기에 그 표현이 간단하다.",,2020년 1회,프로그래밍언어,인터페이스 구현,
"처리량, 응답 시간, 경과 시간","(1)은 애플리케이션이 주어진 시간에 처리할 수 있는 트랜잭션의 수로, 웹 애플리케이션의 경우 시간당 페이지 수로 표현하기도 한다. (2)은 사용자 입력이 끝난 후 , 애플리케이션의 응답 출력이 개시될 때까지의 시간으로, 웹 애플리케이션의 경우 메뉴 클릭 시 해당 메뉴가 나타나기까지 걸리는 시간을 말한다. (3)은 애플리케이션에 사용자가 요구를 입력한 시점부터 트랜잭션 처리 후 그 결과의 출력이 완료 할 때까지 걸리는 시간을 말한다. 자원 사용율은 애플리케이션이 트랜잭션 처리하는 동안 사용하는 CPU 사용량, 메모리 사용량, 네트워크 사용량을 말한다.",,2020년 1회,애플리케이션 성능,애플리케이션 테스트 관리,"애플리케이션 성능이란 사용자의 요구 기능을 해당 애플리케이션이 최소의 자원을 사용하면서 얼마나 빨리, 많은 기능을 수행하는가를 육안 또는 도구를 통하여 점검하는 것을 말한다. 이를 측정하기 위한 지표는 (1), (2), (3), 자원 사용율이 있다."
랜드 어택,"( )은 네트워크 패킷의 출발지 IP를 변조하여 공격 대상의 자원을 소모시키는 공격으로 기밀성과 가용성을 침해하는 공격 유형이다.

주로 3-Way-Handshaking의 연결 지향적 특징을 가지는 서비스에서 발생된다.

( )은 출발지 IP 주소와 도착지 IP 주소가 동일한 특징이 있어 네트워크 모니터링 도구인 와이어샤크의 컨버세션(Conversations)기능을 통해 동일 IP 주소 간에 통신 여부를 체크하는 방법으로 공격 여부를 확인할 수 있다. 해당 패킷의 출발지와 도착지의 IP주소가 동일한 패킷을 기본적으로 차단하여 ( )을 막을 수 있다.",,2020년 1회,네트워크 공격 유형,소프트웨어 개발 보안 구축,
"구문, 의미, 타이밍",통신 프로토콜(Communication Protocol)은 컴퓨터나 원거리 통신 장비 사이에서 메시지를 주고받는 양식과 규칙의 체계이다. 통신 프로토콜을 구성하는 기본 요소 3가지를 쓰시오.,,2020년 1회,프로토콜,응용 SW 기초 기술 활용,
HRN,운영체제의 비선점 프로세스 스케줄링기법 중 하나로 어떤 작업이 서비스받을 시간과 그 작업이 서비스를 기다린 시간으로 결정되는 우선순위에 따라 CPU를 할당하는 기법이다.,,2020년 1회,스케줄링,응용 SW 기초 기술 활용,우선순위 계산식 = (대기시간 + 서비스시간) / 서비스시간
"원자성, 독립성","(1) : 트랜잭션의 가장 기본적인 특성으로 트랜잭션 내의 연산은 반드시 모두 수행되어야하며 그렇지 못한 경우 모두 수행되지 않아야 함.
일관성 : 트랜잭션이 정상적으로 완료된 후 언제나 일관성 있는 데이터베이스 상태가 되어야 하며, 결과에 모순이 생겨서는 안 됨
(2) : 하나의 트랜잭션이 수행 중에는 다른 트랜잭션이 접근할 수 없고 각각의 트랜잭션은 독립적이어야 함
영속성 : 지속성이라고도 하며, 트랜잭션이 성공적으로 완료된 후 결과는 지속적으로 유지되어야 함",,2020년 1회,트랜잭션,응용 SW 기초 기술 활용,
